date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:12	95083/95083	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jun%202024%2003:56:15%20GMT	https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D	C:/My%20Web%20Sites/koo/dc.crsorgi.goov.info/verifycertificate7592.html	(from )
09:26:13	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Jun%202024%2003:56:16%20GMT	https://dc.crsorgi.goov.info/robots.txt		(from )
09:26:14	4594/4594	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2009:13:58%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/favicon.png	C:/My%20Web%20Sites/koo/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	(from https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D)
09:26:15	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/koo/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D)
09:26:16	234371/234371	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2009:13:57%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/banner2.png	C:/My%20Web%20Sites/koo/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	(from https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D)
09:26:17	346742/346742	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Jun%202024%2012:08:55%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	C:/My%20Web%20Sites/koo/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	(from https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D)
09:26:17	94546/94546	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2009:13:54%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/koo/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D)
09:26:17	3853/3853	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202024%2015:18:42%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	C:/My%20Web%20Sites/koo/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	(from https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D)
09:26:18	5318/5318	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202024%2015:18:37%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/emblem.png	C:/My%20Web%20Sites/koo/dc.crsorgi.gov.in.verifycertificate.co/emblem.png	(from https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D)
09:26:18	13650/13650	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202024%2015:18:35%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/crs-logo-light.png	C:/My%20Web%20Sites/koo/dc.crsorgi.gov.in.verifycertificate.co/crs-logo-light.png	(from https://dc.crsorgi.goov.info/verifycertificate?id=MjYyMjkx&Oqi8rh5RCI3198U8b0EfzxlC4%3D)
